cat_index,sub_index,v_index,state,categories,subcategories,variables,policy,history_2020,current_policy_2030,current_policy_2050,repeat_policy_2030,repeat_policy_2050,core_policy_2030,core_policy_2050
2,2,1.0,US,Labor,Employment by economic sector,Employment - Agriculture,Biden,30509.191919263445,31367.719142611408,30777.797600174243,42262.93467213835,47266.502572023586,38522.422670094435,47266.47308792031
2,2,1.0,US,Labor,Employment by economic sector,Employment - Agriculture,other,30509.191919263445,31367.719142611408,30777.797600174243,43254.27901751077,47266.49930550347,38522.422670094435,47266.47308792031
2,2,2.0,US,Labor,Employment by economic sector,Employment - Construction,Biden,507193.9584902442,439858.23855675495,636587.6369892653,699641.7958357297,1441889.5998597823,691315.1037012575,1311391.353446401
2,2,2.0,US,Labor,Employment by economic sector,Employment - Construction,other,507193.9584902442,439858.23855675495,636587.6369892653,553010.835627521,749374.5363197062,691315.1037012575,1311391.353446401
2,2,3.0,US,Labor,Employment by economic sector,Employment - Manufacturing,Biden,313791.8569638525,308259.55158513493,316837.51163909485,474873.7797744031,588810.7853155283,465204.85714360647,471702.25329862925
2,2,3.0,US,Labor,Employment by economic sector,Employment - Manufacturing,other,313791.8569638525,308259.55158513493,316837.51163909485,363285.1870537225,271339.09384491906,465204.85714360647,471702.25329862925
2,2,4.0,US,Labor,Employment by economic sector,Employment - Mining,Biden,562819.1007456479,400602.1748783797,177284.29781733238,345746.27583274915,87820.62024217515,349462.1138048487,61039.532370681685
2,2,4.0,US,Labor,Employment by economic sector,Employment - Mining,other,562819.1007456479,400602.1748783797,177284.29781733238,359264.3476528295,86417.91561991403,349462.1138048487,61039.532370681685
2,2,5.0,US,Labor,Employment by economic sector,Employment - Other,Biden,44718.790963452746,34678.53513056851,93990.20748462863,82013.77177335115,251377.9488946748,79702.074653743,238326.80185683904
2,2,5.0,US,Labor,Employment by economic sector,Employment - Other,other,44718.790963452746,34678.53513056851,93990.20748462863,56746.355101845,127280.185600619,79702.074653743,238326.80185683904
2,2,6.0,US,Labor,Employment by economic sector,Employment - Pipeline,Biden,45541.86170635026,48395.26239474301,45678.37662843894,39641.801653696675,18806.76362616195,40627.10076667581,12717.64508675522
2,2,6.0,US,Labor,Employment by economic sector,Employment - Pipeline,other,45541.86170635026,48395.26239474301,45678.37662843894,42542.683759201456,21480.46765968016,40627.10076667581,12717.64508675522
2,2,7.0,US,Labor,Employment by economic sector,Employment - Professional,Biden,294992.91292862396,260811.1347637642,352160.57888578315,393855.6578098101,941586.5151792085,386485.23877237324,841392.9162152759
2,2,7.0,US,Labor,Employment by economic sector,Employment - Professional,other,294992.91292862396,260811.1347637642,352160.57888578315,321563.8093107008,494967.8796193652,386485.23877237324,841392.9162152759
2,2,8.0,US,Labor,Employment by economic sector,Employment - Trade,Biden,309908.0685059622,252158.78893039026,279914.6303843335,312095.24170614406,579779.8327872297,307362.7224461569,513910.27725078404
2,2,8.0,US,Labor,Employment by economic sector,Employment - Trade,other,309908.0685059622,252158.78893039026,279914.6303843335,270551.8895366738,304277.8872106515,307362.7224461569,513910.27725078404
2,2,9.0,US,Labor,Employment by economic sector,Employment - Utilities,Biden,430592.0391858398,409775.87629007304,517356.0927366368,499764.30257011135,1161706.5888260596,509340.7666261526,1063570.1394186066
2,2,9.0,US,Labor,Employment by economic sector,Employment - Utilities,other,430592.0391858398,409775.87629007304,517356.0927366368,445373.22495229426,726212.7901324503,509340.7666261526,1063570.1394186066
2,1,1.0,US,Labor,Employment,Employment - Total,Biden,2540067.781409237,2185907.28167242,2450587.1301656878,2889895.561628133,5119045.157302843,2868022.4005849087,4561317.392031893
2,1,1.0,US,Labor,Employment,Employment - Total,other,2540067.781409237,2185907.28167242,2450587.1301656878,2455592.612012299,2828617.255312809,2868022.4005849087,4561317.392031893
2,2,1.0,AK,Labor,Employment by economic sector,Employment - Agriculture,Biden,2.757877145213511,3.393365841711051,2.95638749715618,5.590032831643598,1.193285904476441,7.269057182806665,1.177373596402144
2,2,1.0,AK,Labor,Employment by economic sector,Employment - Agriculture,other,2.757877145213511,3.393365841711051,2.95638749715618,5.86330150133432,1.293822676514814,7.269057182806665,1.177373596402144
2,2,1.0,AL,Labor,Employment by economic sector,Employment - Agriculture,Biden,159.81298518002419,196.63817364489137,171.31622853085858,323.9302503484599,1173.679579220249,421.226061445421,1173.279943554558
2,2,1.0,AL,Labor,Employment by economic sector,Employment - Agriculture,other,159.81298518002419,196.63817364489137,171.31622853085858,339.76557569471214,1176.19997376941,421.226061445421,1173.279943554558
